Name,Category,Public ID,Weight,Price,Fat,Protein,Carbs,KCal
Кофе Monarch Original натуральный растворимый сублимированный,Discounts and promos,263d6958-a0b2-4bed-93ea-8ca23e39c501,210 g,589,0.52,14.6,10.3,101
Молоко стерилизованное Домик в деревне 3.2% 950г,Discounts and promos,155f254b-d931-4f40-bac7-f7576217bbd3,950 ml,112,3.2,2.9,4.7,60
Кофе Monarch Original натуральный растворимый сублимированный,Discounts and promos,1c9c1c71-bf7a-4fc5-a5b1-3bd527361b33,95 g,582,0.52,14.6,10.3,101
Кофе Monarch Original натуральный растворимый сублимированный,Discounts and promos,e9ed2ca3-e124-4616-8f1d-c73944a838c9,95 g,328,0.52,14.6,10.3,101
Набор зелени Global Village лук зеленый + петрушка + укроп,Discounts and promos,9103c69c-255b-41ef-bacc-57c13c515fbc,70 g,82,2.5,2.5,5.3,34
Яблоко сезонное,Discounts and promos,65991620-a2dc-4846-b3b3-39c9c4441c0d,500 g,63,0.4,0.4,0.9,47
Апельсины,Discounts and promos,3fe3aab3-bd7d-4a4c-a1b5-9dc85b3d4377,800 g,98,0.2,0.9,8,36
Томаты Черри на ветке,Discounts and promos,8e3abfa1-b89a-4c1b-bf06-a152a72a9f38,250 g,146,0.1,0.8,2.8,15
Яблоки Гренни Смит,Discounts and promos,72fe49b0-5f8a-46b9-afaa-47e6012bdab8,500 g,82,0.4,0.4,9.7,48
Нектарины вес,Discounts and promos,be08bb9d-d4ae-4162-9778-45dd5358483b,300 g,92,0.3,1.1,8.9,44
Виноград белый,Discounts and promos,3fece1df-c853-425a-ab92-cf4047386c8d,500 g,157,0.2,0.7,16.8,69
"Twix Xtra шоколадный батончик с карамелью и печеньем, 82 г",Discounts and promos,de978c21-1377-4233-87a9-74cd5499571f,82 g,73,24,4.4,64.4,494
Сметана Простоквашино 20%,Discounts and promos,3d9d295d-70e8-488a-9404-4a21da52039c,300 g,108,20,2.5,3.4,204
"Яблоки Голден, вес",Discounts and promos,9c126de9-8ef6-4860-a07c-8c6d69ea14d1,500 g,76,0.2,0.4,9.8,47
Квас Очаковский двойного брожения 2 л,Discounts and promos,6c9eaa2c-06f0-4896-b3ee-f93f9816e0fa,2 l,122,0,0,6.5,35
Макароны Makfa Витки,Discounts and promos,d857a2d2-4414-4ff2-9265-645d77a41201,450 g,64,1.3,12,70.5,342
Кетчуп Heinz Томатный,Discounts and promos,101de7b5-8020-4ed6-af6e-928b2c91a2f2,320 g,157,0.1,1,25,110
Батончик вафельный Обыкновенное чудо сливочное,Discounts and promos,bc35d024-cc0d-4491-916d-71bf599ee02c,55 g,42,16.4,2.8,31.6,281
Конфеты Рот Фронт батончики вес,Discounts and promos,aca925bf-8ba5-47d3-85ef-34609610c6c4,200 g,156,29,11,53,514
Макароны Makfa Улитки,Discounts and promos,c84b3842-8759-442a-9a26-08c8a230e1b4,450 g,64,1.3,12,70.5,342
Сметана Домик в деревне 15% 300г,Discounts and promos,bfe14d01-756c-4be8-8fbe-67085385acc3,300 g,90,15,2.6,3.6,160
Сыр Савушкин продукт Брест-Литовск Российский 50% полутвердый,Discounts and promos,42df11b1-431c-448a-9de7-702f6b5c3c51,200 g,200,0,28.5,21,341
Кабачки вес,Discounts and promos,9fc630e9-37e1-4931-9f5e-8726a0cea206,900 g,129,0.3,0.6,4.6,24
Грибы Global Village шампиньоны,Discounts and promos,81b6c2ef-248e-4a8e-9adc-84b3a2c3790c,300 g,76,1,4.3,0.1,27
Сосиски Папа может Сочные,Discounts and promos,f8849495-d6df-4428-be0f-bdf6833819be,600 g,340,26,8,0,275
Сосиски Папа может Молочные вареные 410г,Discounts and promos,f66f69df-1d66-47f5-bdfb-7bb3075b1261,410 g,224,14,8,3,170
"Mars Max шоколадный батончик с карамелью и нугой, 81г",Discounts and promos,446baac6-e8c3-4516-97e1-68b5adbd771b,81 g,86,18.5,3.8,68,457
Колбаса Папа может Филейная вареная,Discounts and promos,43094e82-e1af-44fe-9f1b-056c30f9fbd6,500 g,268,15,9,0,171
Икра деликатесная с копченым лососем Санта Бремор,Discounts and promos,742be745-8ddf-4303-8e1a-226b48186673,180 g,163,41,7,5.5,420
Масло подсолнечное Золотая Семечка без запаха,Discounts and promos,a256851b-2ebd-42d8-9983-c9e29324b7aa,1 l,129,99.9,0,0,899
"Шоколад молочный Milka, 85г",Discounts and promos,94b6d062-4080-4f96-a44f-de14fb6c026a,85 g,101,30,5.8,59,537
Печенье Сhoco Boy Orion,Discounts and promos,9ef92cf2-d159-47e3-9380-ae831d8c079e,45 g,60,27,7,57,500
Шоколадный батончик Picnic Big,Discounts and promos,7c255ffa-f1c9-4a2e-8dd5-be5082681a6b,76 g,82,25.1,7.6,59,504
Груши Конференция,Discounts and promos,3db28018-f7d8-4feb-86f7-1bc6554f8fe9,500 g,148,0.3,0.4,10.3,42.9
Шоколад Kinder Chocolate молочный,Discounts and promos,21aad011-3788-44f3-a93f-07fae0230d76,100 g,163,35,8.7,53.5,566
Спагетти ТМ Makfa (Макфа),Discounts and promos,26bf0146-f053-4bd4-9610-5447ae9d737d,450 g,64,13,12,70.5,342
Яблоки красные вес,Discounts and promos,2bb3d82b-ece3-4960-b694-a2515c8bf8fc,800 g,134,0.4,0.4,9.8,47
Пирожное Медвежонок Барни Шоколад 5х30 г,Discounts and promos,4d2aff1b-7349-4710-94b7-e1ede6d7d9a4,150 g,101,15,5.9,54,347
Творожок с хрустящими шариками в шоколадной глазури 7.2%  Даниссимо,Discounts and promos,a9d72dc3-444f-4eea-aa2c-4ee23ee4fde0,130 g,63,7.2,5.2,17.5,156
Конфеты Батончики Рот Фронт,Discounts and promos,70173d9c-24fc-4843-bddb-fb85329f94a6,250 g,194,29,11,53,530
Колбаса Папа может! Мясная варёная,Discounts and promos,9c5b5bbb-91ca-4f64-bb3b-248f6b530906,500 g,275,14,8,0,158
Авокадо вес.,Discounts and promos,6c06b8e9-b53d-485c-921b-63c7cd81e382,400 g,200,14.7,2,1.8,160
Кетчуп Heinz томатный,Discounts and promos,934080a3-3bdf-406a-a8da-7e209404ee63,800 g,255,0.1,1,25,110
"Snickers Лесной орех шоколадный батончик с арахисом, карамелью, фундуком и нугой, 81г",Discounts and promos,2d623800-09b0-4be5-967f-f2930963b469,81 g,84,27.4,8.1,56,506
Томатная паста Global Village ,Discounts and promos,9eee1cf2-b489-425c-8e62-f1f95f956473,270 g,120,0,0,15.8,63.2
Сосиски Ядрена копоть с сыром,Discounts and promos,7871d267-8e1a-46cd-8784-2ab6010c58b0,420 g,248,15,11,0,179
Картофельные чипсы Lay's со вкусом Сыра 70г,Discounts and promos,e44530d0-42a7-4387-bebe-c174bab5e7fa,70 g,101,32,6,53,520
"Десерт творожный Даниссимо Браво 6,7% Шоколад",Discounts and promos,bda8c439-a9d1-4616-a7ec-6602e2e2d560,130 g,63,6.7,5.4,17.2,151
"Молоко питьевое Му-у ультрапастеризованное 3,2%",Discounts and promos,75e7ae1e-0355-460f-8ee9-04f6fa57fdd0,925 ml,102,3.2,3,4.7,60
"Груша красная, вес",Discounts and promos,fd6bfcda-7075-43e7-941e-0ba2327e460a,300 g,84,0.7,0.7,10,58
"Влажный корм для кошек Sheba® Ломтики в соусе с курицей и индейкой, 75г",Discounts and promos,f5f0c70a-5a0d-4604-810d-4e018f50cc4a,75 g,36,3.2,9,0.3,73
Ветчина Империя вкуса с индейкой,Discounts and promos,8fd29a32-563d-4924-8056-94e455538789,400 g,204,3,9,5,83
Энергетический напиток Flash Up Energy Ultra ,Discounts and promos,22c34845-ebdb-4079-91fc-123198c05442,450 ml,69,0,0,12.5,50
Творог взбитый Чудо Клубника-Земляника 4% 100г,Discounts and promos,e902367a-db9e-48fb-a61a-7d30e979f2cc,100 g,67,4,4.5,18.8,128
Сервелат варёно-копчёный Папа Может Финский,Discounts and promos,2f2fcd64-2ac0-4b54-b8f5-434286bcf64b,350 g,326,42,12,0,440
Бургер-соус для бутербродов и закусок Astoria,Discounts and promos,2e953d4b-b225-4fa4-9462-ecc79261c4ed,200 ml,122,30,0.7,14.5,330
Сок Добрый яблоко,Discounts and promos,c07dbf6d-0ed1-4644-b9c0-16ab5d294ac4,1 l,153,0,0,10.5,42
Влажный корм для кошек Sheba® Ломтики в соусе с телятиной и языком,Discounts and promos,ac2242e0-7e10-45ad-a67e-e95d20e0adf8,75 g,36,3.2,9,0.3,73
Шампиньоны Global Village,Discounts and promos,c51a4b80-3575-4df1-9677-b7ad5405c613,250 g,102,1,4.3,0.1,27
Макароны Makfa Ракушки 450г,Discounts and promos,71d94f3b-3db6-407b-84bf-e078ddc2f8bc,450 g,64,1.3,12,70.5,342
"Сыр Trattoria Di Maestro Turatti Моцарелла 45%, 180г",Discounts and promos,3f271066-00ec-4d5c-b3b0-70e23cd1ca8a,180 g,140,0,0,0,297
Кинза Global Village,Discounts and promos,0bc1ac2b-651a-4ad1-ad04-91d5a81eca43,30 g,87,0.5,2.1,1.9,23
Шоколад молочный Milka цельный фундук,Discounts and promos,f99f81c1-e6a1-4b93-b959-f256e318aba7,85 g,112,36,7.6,50,135
Майонез Махеевъ Провансаль с лимонным соком 67%,Discounts and promos,ceb2a79d-6002-46ea-9e41-b01306898854,380 g,117,67,0.5,2.1,613
Конфеты РотФронт Птичье молоко,Discounts and promos,e2da587f-54f5-4a5a-9c6f-4c1aeddc6650,225 g,230,25,2.5,55,460
Авокадо Global Village Хасс 2шт.,Discounts and promos,99706e0f-c9ea-4571-81c2-bdd4bf5943e1,350 g,224,15,2,9,160
"Конфеты Konti Золотая Лилия, вес",Discounts and promos,93a8c66a-c84f-4eda-a58c-22ba0d9de63b,200 g,98,28,3.5,60,500
Мороженое сливочное эскимо Магнат Шоколадный трюфель,Discounts and promos,2864efd4-cae2-4ed0-b357-d77f8064305e,72 g,143,19,4,33.4,323
Макаронные изделия Шебекинские Спагетти №002 тонкие  ,Discounts and promos,d869d116-5685-4134-ad37-3415e122d45e,450 g,67,1.5,13,72,350
Кетчуп Махеевъ Томатный,Discounts and promos,68c9b6ab-af23-4a46-8562-24162acfdeb4,300 g,115,0,1.2,18.9,80
"Голубика свежая, 125г",Discounts and promos,d96876f7-c831-4099-af51-2e382d5e67a7,125 g,224,0,0,0,39
Сосиски Вязанка Молокуши молочные,Discounts and promos,a5a97858-1cab-4c68-90f9-59f114a252ed,450 g,306,16,11,0,190
Энергетический напиток Flash Up Energy Мятный лайм,Discounts and promos,70198ec5-7c41-4335-a33d-f053abfc800e,450 ml,69,0,0,11,45
Молоко Parmalat Comfort Безлактозное 1.8%,Discounts and promos,70419549-86ba-4bb4-9a1a-891566e34802,1 l,140,1.8,3,4.7,47
"Кукуруза консервированная Bonduelle, сладкая, 170 г",Discounts and promos,a3423620-1afd-41ca-aee0-68fa9cbb63c1,212 ml,102,0.6,2.87,9.9,57.8
Фарш Мираторг любительский свино-говяжий охлаждённый,Discounts and promos,0790154c-9fe6-4a52-864e-5146a7d0f49d,400 g,235,25,15,0.3,290
Масло Красная цена подсолнечное рафинированное,Discounts and promos,1e6420a3-76c1-4739-b908-1d7904723feb,900 ml,85,99.9,0,0,899
"Десерт творожный Даниссимо с сочным киви 5,5%",Discounts and promos,4ded331e-b4a1-484b-b8ce-fb7b3be122d3,130 g,63,5.5,5.2,15.9,134
"Кукуруза консервированная Bonduelle, сладкая",Discounts and promos,74470149-c569-4896-9213-579abf859e87,425 ml,153,0.6,2.87,9.9,57.8
"Влажный корм для взрослых кошек Sheba Форель и креветки, ломтики",Discounts and promos,ba39e167-1bc3-4a48-8c2a-3092821da5c1,75 g,36,3.2,9,0.3,73
Хлеб зерновой в нарезке ТМ Даниловский,Discounts and promos,f40a91b6-7785-485f-9ab5-df26b3b132b5,300 g,90,6,9.5,46,283
Колбаса полукопченая Великолукский мясокомбинат по-краковски,Discounts and promos,8789ac4f-6279-4141-8c2e-a38064f54d8e,300 g,240,26,15,0,290
Груши жёлтые,Discounts and promos,4c4656dc-8161-4ef1-b3ac-5a64d776d7c4,500 g,97,0.3,0.4,10.3,44
Творог взбитый Чудо Ежевика-Малина 4.2% 100г,Discounts and promos,7a29b634-af0e-4c88-aeef-560d0a8e8012,100 g,67,4.2,4.3,17.5,125
Колбаса вареная Великолукский мясокомбинат Докторская ГОСТ в обвязке,Discounts and promos,af0609ae-f9ec-4963-87cb-31c6766d3d88,500 g,330,20,12,0,228
Паста томатная Помидорка,Discounts and promos,da615b42-b0b3-40a8-9f2c-ece0b77017fc,250 g,185,0.5,5,16,90
Пирожное Choco Pie Lotte,Discounts and promos,a797bcde-9401-40ab-bd57-0f9ee1c39829,336 g,199,18,4,65,438
Огурцы Global Village целые маринованные,Discounts and promos,1a8ebcbe-4e06-47a6-a1b4-b1da10d7db50,720 ml,170,0,0,0,12
"Влажный корм для кошек Sheba® Ломтики в желе с кроликом, 75г",Discounts and promos,d7dd23c6-ff43-4751-88ba-3bb80ab9ef2d,75 g,36,3.2,8,0,73
Колбаса Вязанка Филейская классическая вареная,Discounts and promos,e2dc2039-e1f5-4966-92a3-6af920eaf078,450 g,286,13,11,0,160
Сметана Домик в деревне 20% 300г,Discounts and promos,bca99c92-1e85-4e5f-a1eb-310ee8adb7c2,300 g,106,20,2.5,3.4,204
Конфеты Конти Живинка со вкусом арбуза вес,Discounts and promos,632f193d-523c-4c68-a220-7d3f5ef2ae54,200 g,70,0.3,0,80,310
Шоколад молочный Milka с дробленым фундуком,Discounts and promos,a72a3a1c-fb7c-4572-81f0-4ff7b57e144c,85 g,101,32,6.6,55,535
Батончик NUTS DUO,Discounts and promos,c2e835d5-dd12-4e5c-a9b8-8736d82d4b62,66 g,86,22,4.9,65,485
"МАГГИ® Заправка для борща, 250 г",Discounts and promos,5d220fdb-be45-4c63-9d8b-a44da5a70d38,250 g,148,0.1,1.9,19,99
Абрикосы,Discounts and promos,67b3e631-6d7a-449f-b1c4-8ba889842e44,300 g,92,0.1,0.9,9,44
"Snickers шоколадный батончик с карамелью, арахисом и нугой, пачка 4х40г",Discounts and promos,43fd16b4-c152-4158-874f-57af0d781841,160 g,184,25,8,58,499
Семечки подсолнечные отборные От Мартина полосатые с солью,Discounts and promos,77ddc726-7148-438d-bc9b-fb561453db35,150 g,135,49.6,22.8,19.5,570
"Горбуша Fish House натуральная, 245г",Discounts and promos,13f0141e-67c9-472f-b456-600be5abb053,245 g,147,6,21,0,138
Попкорн MixBar Карамель сладкий 250 г,Discounts and promos,26907199-e9c9-4253-b462-814e7fefc9c9,250 g,100,19,6.3,64.5,454
"Салями cырокопчёная Итальянская Останкино, нарезка",Discounts and promos,7d46f3ca-06c5-4e19-bfb0-f114f162ee18,150 g,245,50,16,0.1,414
"Горошек консервированный Bonduelle, нежный, 200 г",Discounts and promos,1f9caabd-ab5d-4e70-b90d-026047206f62,212 ml,102,0.4,6.4,16.3,72
"Кефир Простоквашино 3,2%",Discounts and promos,6480d8e5-ce81-4e1f-8094-a2f3674806b2,930 ml,106,3.2,3,4,57
Майонез Ряба Провансаль 67%,Discounts and promos,2bf26463-5f23-46bc-be60-b58567904763,630 g,162,67,0.5,2.5,620
Творог взбитый Чудо Вишня-Черешня 4% 100г,Discounts and promos,47c2de4f-2b9f-47ae-9cd2-a539ab52b6e9,100 g,67,4,4.5,19.8,133
"Творог Простоквашино, 2%",Discounts and promos,e5c606ca-bd9a-4b79-8aa9-ebcea729f414,200 g,97,2,18,3,103
Семечки соленые белые от Мартина ТМ Мартин,Discounts and promos,86052de3-79d9-465f-a8a7-d9113286b0c2,100 g,92,34.5,17.1,5.4,386
Нектар Добрый апельсин 1 л,Discounts and promos,549a7df1-4b30-4d81-8f1b-61f219553562,1 l,157,0,0,10.5,42
"Яйцо из молочного шоколада Kinder Сюрприз с игрушкой внутри, в ассортименте",Discounts and promos,47c5d106-c456-4c50-95bd-a0adc3dcb8e6,20 g,112,34.2,8.1,52.3,552
Бульмени Горячая штучка с говядиной и свининой,Discounts and promos,0571aeb7-a45b-4092-8e1d-bf5f6f232538,430 g,199,10,8,29,240
Сосиски Классические ТМ Ядрёна Копоть,Discounts and promos,4f143dbf-cfc4-4942-8c9e-0861955beeb0,420 g,248,14,11,0,170
Сдобные палочки Шарлиз Снежка с малиновым джемом 370г,Discounts and promos,0a083828-3575-4c81-b768-9888821d73b0,370 g,146,13,6.5,63,400
Напиток Овсяный Немолоко Шоколадный,Discounts and promos,aef6ab4e-367d-4de9-9f26-fe3dde73f8f6,1 l,133,3.2,1,9.5,70
Картофельные чипсы Lay's со вкусом краба 70г,Discounts and promos,f8162840-a5d5-4500-8931-c527c218cd26,70 g,101,32,6,53,520
Шоколад молочный Milka Caramel с карамельной начинкой,Discounts and promos,e80bc9a7-40b7-42af-b2dc-525fac70c03a,90 g,101,24,4.2,62,482
"Кальмар Fish House сушеный кольца, 70г",Discounts and promos,9c0a28eb-531d-4917-9d3e-a94809186214,70 g,134,1,45,13,241
Пирожное Бисквитное с Бананово-йогуртовой начинкой ТМ Медвежонок Барни,Discounts and promos,28531368-4c16-4c75-b450-5869ebaaefee,150 g,101,16,6.5,58.6,404
Творог взбитый Чудо Груша-Персик 4.2% 100г,Discounts and promos,66336277-c094-4db7-bf74-59f6cbbaa3ff,100 g,67,4.2,4.5,18.1,128
"Пирожное ""Мишка Барни"" Большевик",Discounts and promos,411f3fb7-5c81-4401-88a3-733f3f0a0d24,150 g,101,15.2,5.8,59.1,390
"Напиток безалкогольный Fresh Алоэ негазированный, 1.5л",Discounts and promos,cabb4fcd-f3a6-4bdd-9440-48b10c3e9961,1.5 l,130,0,0,0,39
"Детское фруктово-ягодное пюре Агуша Яблоко-клубника-малина, с 6 месяцев, 90г",Discounts and promos,5d302867-7ac8-4411-87a9-6e66df48329a,90 g,60,0,0,14,56
Дск Киви спелое 1 упаковка,Discounts and promos,921cbd65-549d-4396-a264-f8131213c191,250 g,184,0.4,0.8,8.1,47
"Соус Heinz Кисло-Сладкий, дой-пак, 200г",Discounts and promos,f8461134-0fb0-4560-af2a-6e1e31c217b3,200 g,163,0.1,0.5,44,180
Паштет Hame деликатесный из индейки,Discounts and promos,b2050544-dd2a-4e05-868f-200528766a86,105 g,81,12.3,14.8,2.7,184
Шпроты Вкусные консервы крупные в масле,Discounts and promos,4f73539e-733f-4cb7-b65d-2579930b244a,240 g,189,32,17,0,356
Каша жидкая Молочная Рисовая Агуша Засыпай-ка Яблоко-Груша 200мл с 6 месяцев,Discounts and promos,f2b02d47-abad-45b7-9e7d-5aa1370a3bb3,200 ml,50,2.7,2.7,10.2,77
Икра деликатесная с креветкой Санта Бремор,Discounts and promos,e61abb55-2f26-4a35-8b11-7a686ad585e0,180 g,163,41,7,4,410
Чай пакетированный Tess Forest Dream Чёрный 20шт,Discounts and promos,00c17bdb-935a-4dd0-9867-977785f4aee4,36 g,129,0,0,0,0
Яблоко Global Village красное,Discounts and promos,fbdda560-cb47-45a1-9c94-c6f68584b11b,1.2 kg,196,0.2,0.4,19.6,72
Чипсы нори Sen Soy Original,Discounts and promos,c473c326-e3be-48ac-89b1-fd75022abb51,5 g,84,2,41,44,360
Жевательная резинка Dirol Colors XXL без сахара ассорти мятных вкусов,Discounts and promos,0a97deb4-6259-4f64-ad96-efa7e0ed7f40,19 g,58,0.6,0.2,67,170
"Сывороточно-молочный коктейль Мажитэль с соком и с витаминам со вкусом Персик-маракуйя, 950г",Discounts and promos,1a44dc4d-ec59-43e4-b192-35cdcb81a714,950 ml,138,0.05,0.4,12.1,50
Сыр Liebendorf тильзитер 45%,Discounts and promos,1a13eaa9-2404-46b4-947a-a737d82598c0,400 g,356,0,23.4,26,315
Зеленый чай Фрутмотив IceTea малина 1.5л,Discounts and promos,9ee3c0fd-fd62-444e-bcdf-c98c7bd25d41,1.5 l,184,0,0,0,30
Манго сушеное,Discounts and promos,9f07ea6a-a286-4f34-8021-999a5659f6eb,200 g,245,0.5,0.1,85,355
Кнуты Мясо так мясо Классические сырокопченые,Discounts and promos,4450da6b-f5c2-4e24-bfc9-7ea33ef4214b,60 g,102,43,24,1,487
"Творожный продукт Данон Даниссимо черника 5,5% Россия",Discounts and promos,263e065b-05a9-47f8-8019-f1121e5305ba,130 g,63,5.5,4.9,15.3,130
Ванилин Haas,Discounts and promos,d033fd20-591d-4747-b22e-0348bba10b80,2 g,7,0,0,87.6,350.6
Мороженое пломбир Чистая Линия Российское Ванильное в шоколадной глазури,Discounts and promos,f7d2aa80-bc55-4478-9a5d-fa6a2b4a149e,80 g,148,21.9,3.9,23.4,306
"Конфеты Золотой Степ Славянка глазированные, вес",Discounts and promos,91bed607-fcc4-4762-809c-d06b9d5bd0b7,200 g,115,27,10,51,499
Сыр полутвёрдый Liebendorf Маасдам,Discounts and promos,2d63bb32-5493-4f49-a8f5-1df5dd455a35,350 g,315,0,25,25,330
Макароны Зерница Ракушки,Discounts and promos,d26828c6-db89-40ed-b565-83d39f824679,450 g,55,1,10.5,71,340
"Рис Global Village Для плова, 800г",Discounts and promos,ceaef564-9674-409d-9c86-e3d3fe89a174,800 g,123,6,9,79,420
Конфеты Рот Фронт Ромашки,Discounts and promos,910efc07-62fd-490c-87c3-6358ce67108d,200 g,133,14,2.7,74,419
Макароны Шебекинские №202 Рожок полубублик,Discounts and promos,f2656b4c-90d1-4321-b18e-9a188b55df23,450 g,67,0,2,75,350
Соус Astoria Сырный 20%,Discounts and promos,48272dbc-7f00-401b-ac60-87db192d7f14,233 g,112,20,0.2,8.5,220
Сырок творожный глазированный Свитлогорье с какао 26%,Discounts and promos,845abe22-3ba1-4cc7-9cef-b8649a697d85,50 g,61,27.7,8.3,32.1,416
"Чай чёрный Curtis Blue Berries Blues в пирамидках, 20 шт.",Discounts and promos,3832eeef-d56e-4a5f-aeb1-98545490eef9,36 g,90,0,0,0,4
Сыр Свежий Ряд Чечил копченый,Discounts and promos,38e383c3-0b51-4ab0-b872-d3645f8d82af,100 g,150,0,22,20,280
"Мармелад FruitTella Супер Бутылочки жевательные со вкусами колы, апельсина, лимона",Discounts and promos,d216f2e9-5880-4fc1-a293-c4d0fce5b171,100 g,117,0.2,6.5,73,330
"Сухой корм Purina ONE® полнорационный для стерилизованных кошек и кастрированных котов, с высоким содержанием лосося, 750 г",Discounts and promos,344da989-4f24-4554-91f7-f867687d5552,750 g,428,13,37,4,76
Сыр Liebendorf Сливочный плавленый пастеризованный 55% 400г,Discounts and promos,fa918418-ac9d-492e-a19e-82555ecd9a68,400 g,240,24.7,8,8,287
"Детское фруктовое пюре Агуша Яблоко-Банан-Печенье в мягкой упаковке, с 6 месяцев, 90г",Discounts and promos,84594a7b-161a-45f5-883b-cf052e5d795e,90 g,60,0,0,14,60
Томаты Yoom Кумато 350г,Discounts and promos,9229f171-620f-402a-89a9-59402417eb2f,350 g,153,0.2,0.9,3.9,15
Салатная смесь Тоскана Белая дача,Discounts and promos,ead2e629-6160-484f-93a6-addf4f7a24b0,120 g,133,0.2,1.5,2,16
Дрожжи хлебопекарные Саф-момент сухие быстродействующие,Discounts and promos,620d10d4-82f7-4c72-abb2-fa9d011ad46b,11 g,29,6,49,40,361
Наггетсы куриные Мираторг с сыром,Discounts and promos,d823f48b-f50d-4350-84f2-f4910b40bd2c,300 g,227,10,12,17,207
Сосиски Клинский Венские,Discounts and promos,2797e379-1b81-480f-a9c0-616ba0e0c927,470 g,347,26,13,0,280
Кетчуп Heinz для гриля и шашлыка,Discounts and promos,25db3c64-0057-48d6-8287-9b9094bf7f7e,320 g,157,1.1,10.3,70.6,334
Сметана Брест-Литовск 15%,Discounts and promos,a9226e5c-19f2-4102-a434-cf22a05aa4fb,315 g,90,15,2.7,2.9,157
Тунец Fish House рубленый в собственном соку 185г,Discounts and promos,34bb5fbf-1eb1-4c75-a254-09c981ab1e2f,185 g,180,18.2,16.4,0.1,64
Конфеты Славянка Лёвушка с мягкой карамелью,Discounts and promos,753cb59f-55d7-482c-ad74-2925a2f9f2f6,200 g,101,7.4,1.2,73.5,368
Конфеты Рот-Фронт Маска,Discounts and promos,e8ae3a86-38f1-4dd4-8b6f-b1947a358538,200 g,160,21,9,74,523
"Горошек консервированный Bonduelle, нежный",Discounts and promos,559f95da-bc34-481d-8213-4ec5776b2618,400 g,150,0.7,5.5,7.4,73
Каша жидкая Молочная Гречневая Агуша Засыпай-ка 200мл с 6 месяцев,Discounts and promos,e0120ea7-79de-4de2-a2fb-5fbd87064ce5,200 ml,50,2.5,2.6,8.4,67
Капуста Китайская,Discounts and promos,355a79c7-2892-4ed3-afe3-35b0e7a24d52,1.5 kg,245,0.2,1.5,2,16
Семечки от Мартина подсолнечника отборные с морской солью,Discounts and promos,586b7c2e-b950-4c0c-8a79-347438387780,200 g,155,52.9,20.7,5,578
Сосиски Сливочные ТМ Клинский,Discounts and promos,9aa001f1-eba4-4b34-9e1c-5e12279044da,470 g,370,19,11,2.1,215
"Палочки кукурузные ФрутоНяня яблоко, банан",Discounts and promos,81020e63-d429-4807-b0b4-f11fa67ef6e9,20 g,59,1,6,78,345
"Крабовые палочки Fish House Снежный краб имитация охлаждённое, 200г",Discounts and promos,0fedf3ac-60cb-4e90-ab71-6accfe6797ff,200 g,155,3.5,5.5,16,120
"Масло Подсолнечное Слобода рафинированное высший сорт, 1 л",Discounts and promos,14ceea3a-fa9b-445f-98de-ebd953437d89,1 l,130,99.9,0,0,899
Макаронные изделия Шебекинские Перья №343 ,Discounts and promos,0fb62396-02b2-4e7a-8d14-f75bbf8f04b1,450 g,67,1.5,13,72,350
Мука Селяночка Пшеничная высший сорт 1кг,Discounts and promos,1678c7c4-6fe3-4c0f-8a70-35caca5f3a57,1 kg,50,71,1,10,330
"Конфеты Озорная Пчелка желейные, вес",Discounts and promos,30f3eede-42bf-43ec-8d51-676741be25c8,200 g,67,0.1,0.1,82.6,332
Биойогурт Верховье Клубника 2.9% 150г,Discounts and promos,5b3633d7-0e72-4ab8-b721-694c495fa561,150 ml,45,2.9,3.9,14.5,99.7
Смесь для макарон в томатно-мясном соусе Болонез сухая Maggi На второе,Discounts and promos,9b22b14b-a358-4447-8ac4-51c8af87ca2d,30 g,82,3.2,9,58,314
Яблоки Global Village Голден вес до 1200г,Discounts and promos,c70f4b4d-6ccb-4835-bb0c-6dd2aa0a84fc,1.3 kg,199,0.2,0.4,19.1,72
Спагетти Зерница высший сорт,Discounts and promos,bfd0502a-bf6e-4a00-996f-35301f589c47,500 g,55,1,10.5,71,340
Сырок творожный глазированный Свитлогорье с варёным сгущённым молоком 26%,Discounts and promos,765013e9-2ee1-4484-8953-2576268daf65,45 g,61,25,8.8,33.5,394
"Чай зеленый Curtis Fresh Mojito в пирамидках, 20 шт.",Discounts and promos,0036983b-b31c-4064-9540-cdcf0ce17376,36 g,101,0,0,0,0.1
Смесь приправ Maggi На второе для нежного филе куриной грудки по-итальянски,Discounts and promos,b13d3a99-a8c1-4ff7-a117-c7b546924338,31 g,112,38,5.2,31,494
Молоко Село Зелёное ультрапастеризованное 3.2%,Discounts and promos,c128e43f-e663-4aa2-858c-f59bc775f345,950 ml,93,3.2,3,4.7,60
"Молоко питьевое Му-у ультрапастеризованное 2,5%",Discounts and promos,393f7762-4953-481d-94ae-653b2ad716d5,925 ml,98,2.5,3,4.7,53
"Сок 100% яблочный осветленный J7 0,97л",Discounts and promos,3f6bdaa3-df57-4604-ba74-37f9dbcbe60a,970 ml,179,0,0,11,45
Креветки Fish House Королевские,Discounts and promos,389e5fc4-9189-468a-bd00-239c1b1d50d5,500 g,520,1,17,1,80
Сосиски Индилайт Грандос,Discounts and promos,266e50c9-9884-4587-a07e-0dc0e9bc2ac4,440 g,285,22,10,0,240
Нектар ФрутоНяня Банан с мякотью с 6 месяцев,Discounts and promos,c8e8f35e-59b8-4ace-a584-212d1422f54d,200 ml,46,0,0,12,48
