Name,Category,Public ID,Weight,Price,Fat,Protein,Carbs,KCal
Шпроты Капитан Норд из балтийской кильки в масле 175г,Только в «Пятёрочке» ,69938d35-a77f-4070-a1f8-6b07c38452af,175 g,160,32,17,0,356
Сардина Fish House атлантическая в томатном соусе 250г,Только в «Пятёрочке» ,8f7f8a24-d7bf-4bf3-9c2a-f67e5d476d96,250 g,120,3.5,7.5,3,75
Тунец Fish House рубленый в масле,Только в «Пятёрочке» ,f7a9a709-056e-4be9-bb8c-187315977163,185 g,170,4.8,17.4,0,116
Скумбрия Fish House атлантическая кусочки в томатном соусе 240г,Только в «Пятёрочке» ,df0b7020-b207-43d4-a067-d3635e60289a,240 g,120,17.4,14.4,4.3,231
Сардина Fish House с овощным гарниром в томатном соусе 240г,Только в «Пятёрочке» ,bab422c4-28b0-4805-87a2-8f4e67dd7daf,240 g,120,3.5,7.5,3,75
Паштет Fish House шпротный из кильки 160г,Только в «Пятёрочке» ,cf4af65b-b15a-40ee-9ffa-0365b36b8549,160 g,30,17,17,0.1,221
Печень Красная Цена По-мурмански тресковых видов рыб 185г,Только в «Пятёрочке» ,e3d7041d-5fd1-4ab4-b578-c19b137237ee,185 g,110,66,4,0,610
Шпроты Fish House из салаки в масле 240г,Только в «Пятёрочке» ,0e0d61b1-1aa0-4ae2-aad3-ba642f57339a,240 g,155,17,12,0,200
Сельдь Fish House атлантическая натуральная c добавлением масла 245г,Только в «Пятёрочке» ,de8bafd6-55cb-4ab2-958c-7ac3ea9112e6,245 g,100,19,17,0,240
Шпроты Красная Цена в масле,Только в «Пятёрочке» ,60c8b71b-e060-4409-9bfd-03880fa2d3cb,160 g,99,32,17,0,360
Сельдь Красная Цена тихоокеанская натуральная с добавлением масла 240г,Только в «Пятёрочке» ,bc06359e-f86f-42e6-9cc8-98885f2c066d,240 g,75,5.5,12,0,410
"Лапша Домшим с грибным вкусом быстрого приготовления, 90г",Только в «Пятёрочке» ,b27dabb0-ead1-43a1-ad54-bc887b39ba8c,90 g,55,18,7.5,51,400
Лапша Домшим быстрого приготовления со вкусом курицы,Только в «Пятёрочке» ,2811d49e-9ecf-49ee-8256-df992f551cf7,90 g,55,18,7.5,51,400
Лапша Домшим быстрого приготовления со вкусом говядины,Только в «Пятёрочке» ,344f2a29-4749-445f-9149-1cb71608d676,90 g,55,18,7.5,51,400
Куриный бульон с лапшой Красная цена,Только в «Пятёрочке» ,47bd8948-7da6-4dec-aee9-dbe1f21097f1,60 g,9,20,7.5,49,400
Вермишель Красная Цена быстрого приготовления с говяжьим бульоном 60г,Только в «Пятёрочке» ,44f2c908-17eb-4ead-a6f4-baf8790e044e,60 g,9,20,7.5,49,410
Каша Mollis Ассорти с молоком 6х40г,Только в «Пятёрочке» ,37dc8132-dae8-45ec-94ed-6211a2f59063,240 g,100,5.5,10,66,360
Пюре Красная Цена картофельное сухое со вкусом Курицы 40г,Только в «Пятёрочке» ,2184a126-20e7-4c3a-a59a-40f7cc071bda,40 g,25,9,6,60,360
"Хлопья Селяночка 5 злаков ржаные-овсяные-ячменные-пшеничные-гречневые не требующие варки, 400г",Только в «Пятёрочке» ,bf1ea3de-68cc-4412-a3b9-d85ec2dcbd4c,400 g,68,3,12,70,350
Хлопья гречневые Селяночка не требующие варки,Только в «Пятёрочке» ,515b8738-15eb-4abe-82b8-9ec4f680348d,400 g,91,2,11,74,360
Каша Mollis овсяная с молоком и со вкусом клубники 40г,Только в «Пятёрочке» ,77f9f41c-a8de-4ccd-9342-086fb5d19bee,40 g,20,5,10,65,360
Каша Красная Цена овсяная с клубникой быстрого приготовления 35г,Только в «Пятёрочке» ,1e9b4f94-0396-4bc6-bf25-a87e77bee2b9,35 g,7,5,10,55,310
"Каша овсяная Mollis Ассорти без молока, 6х40г",Только в «Пятёрочке» ,4cb1ff11-887e-4f6c-adc4-075e078e1268,240 g,100,4.5,9,67,360
Каша Красная Цена овсяная быстрого приготовления с абрикосом 35г,Только в «Пятёрочке» ,6b94e50c-1497-4618-b3fc-015dc1083590,35 g,7,5,10,55,310
Хлопья Селяночка рисовые 400г,Только в «Пятёрочке» ,5ef631b7-3d36-4ba9-b875-dbe3a101d747,400 g,100,1,7,74,340
